Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
48717744,"The Tower of Nero (The Trials of Apollo, #5)",Rick Riordan,"Riordan, Rick",,"=""1484746457""","=""9781484746455""",0,Disney-Hyperion Books,Hardcover,416,2020,2020,2024/01/01,2024/12/05,"greek, not-bought, fantasy","greek (#10), not-bought (#15), fantasy (#18)",read,,,,1,0
28006109,"The Tyrant’s Tomb (The Trials of Apollo, #4)",Rick Riordan,"Riordan, Rick",,"=""1368001440""","=""9781368001441""",0,Disney Hyperion,ebook,439,2019,2019,2024/01/01,2024/12/05,"greek, not-bought, fantasy","greek (#9), not-bought (#14), fantasy (#17)",read,,,,1,0
28006096,"The Burning Maze (The Trials of Apollo, #3)",Rick Riordan,"Riordan, Rick",,"=""1368024122""","=""9781368024129""",0,Disney-Hyperion Books,Hardcover,448,2018,2018,2024/01/01,2024/12/05,"greek, not-bought, fantasy","greek (#8), not-bought (#13), fantasy (#16)",read,,,,1,0
30145666,"The Dark Prophecy (The Trials of Apollo, #2)",Rick Riordan,"Riordan, Rick",,"=""1484746422""","=""9781484746424""",0,Disney-Hyperion Books,Hardcover,432,2017,2017,2024/01/01,2024/12/05,"greek, not-bought, fantasy","greek (#7), not-bought (#12), fantasy (#15)",read,,,,1,0
26252859,"The Hidden Oracle (The Trials of Apollo, #1)",Rick Riordan,"Riordan, Rick",,"=""148473274X""","=""9781484732748""",0,Disney-Hyperion Books,Hardcover,376,2016,2016,2024/01/01,2024/12/05,"greek, not-bought, fantasy","greek (#6), not-bought (#11), fantasy (#14)",read,,,,1,0
18705209,"The Blood of Olympus (The Heroes of Olympus, #5)",Rick Riordan,"Riordan, Rick",,"=""""","=""""",0,Disney-Hyperion Books,Hardcover,516,2014,2014,2024/01/01,2024/12/05,"not-bought, greek, fantasy","not-bought (#10), greek (#5), fantasy (#13)",read,,,,1,0
12127810,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,"Riordan, Rick",,"=""1423146727""","=""9781423146728""",0,Disney-Hyperion Books,Hardcover,597,2013,2013,2024/01/01,2024/12/05,"not-bought, greek, fantasy","not-bought (#9), greek (#4), fantasy (#12)",read,,,,1,0
12127750,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,"Riordan, Rick",,"=""1423140605""","=""9781423140603""",0,Disney-Hyperion Books,Hardcover,586,2012,2012,2024/01/01,2024/12/05,"not-bought, greek, fantasy","not-bought (#8), greek (#3), fantasy (#11)",read,,,,1,0
9520360,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,"Riordan, Rick",,"=""1423140591""","=""9781423140597""",0,Disney-Hyperion Books,Hardcover,521,2011,2011,2024/01/01,2024/12/05,"not-bought, greek, fantasy","not-bought (#7), greek (#2), fantasy (#10)",read,,,,1,0
199190261,"Wrath of the Triple Goddess (Percy Jackson and the Olympians: The Senior Year Adventures, #2)",Rick Riordan,"Riordan, Rick",,"=""1368112382""","=""9781368112383""",0,Disney Hyperion,Hardcover,343,2024,2024,,2024/12/05,"to-read, not-bought, greek, fantasy","to-read (#124), not-bought (#4), greek (#1), fantasy (#9)",to-read,,,,1,0
